id,title,place_name,place_address,scene_description
st_12083,엄마친구아들,르디투어 광교,경기 수원시 영통구 웰빙타운로36번길 46-234,
st_12084,엄마친구아들,아너스톤,경기 용인시 처인구 모현읍 새래로 158-33,
st_12085,엄마친구아들,빌라드파넬,경기 용인시 처인구 백암면 박곡로 192,
st_12086,엄마친구아들,석남사,경기 안성시 금광면 상촌새말길 3-120,
st_12087,엄마친구아들,송지호해수욕장,강원 고성군 죽왕면 심층수길 49,
st_12088,엄마친구아들,해변슈퍼,강원 고성군 죽왕면 심층수길 40-3,
st_12089,엄마친구아들,소노펠리체 델피노,강원 고성군 토성면 미시령옛길 1153,
st_12090,엄마친구아들,설악산소공원,강원 속초시 설악동,
st_12091,엄마친구아들,강릉대관령휴게소,강원 강릉시 성산면 영동고속도로 232,
st_12092,엄마친구아들,헌화로,강원 강릉시 강동면 헌화로,
st_12093,엄마친구아들,구와우마을,강원 태백시 구와우길 38-20,
st_12094,엄마친구아들,내수국민체육센터,충북 청주시 청원구 내수읍 청암로 91-4,
st_12095,엄마친구아들,오송생명로,충북 청주시 흥덕구 오송읍 오송생명로 123,
st_12096,엄마친구아들,오송프라자,충북 청주시 흥덕구 오송읍 오송생명로 186,
st_12097,엄마친구아들,청주서부소방서,충북 청주시 흥덕구 가경로 143,
st_12098,엄마친구아들,뒤웅박고을,세종 전동면 배일길 90-43,
st_12099,엄마친구아들,대전광역시청,대전 서구 둔산로 100,
st_12100,엄마친구아들,동부로73번길,대전 동구 동부로73번길 108,
st_12101,엄마친구아들,문충사옆길,대전 동구 동부로85번길 57,
st_12102,엄마친구아들,용운동 집,대전 동구 새울로91번길 32-3,
st_12103,엄마친구아들,실비식당,충남 천안시 서북구 쌍용14길 53,
st_12104,엄마친구아들,수화림,충남 서산시 해미면 일락골길 368-10,
st_12105,엄마친구아들,월미도테마파크,인천 제물포구 월미문화로 81,
