title_key,title_표기,category,수집_글수,전체_성지수,언급된_성지수,필터통과_성지수,대표성지_TOP5
도깨비,도깨비,drama,61,77,11,4,주문진방파제(9) / 강릉중앙시장(4) / 경포대(3) / 운현궁양관(2) / 한미서점(1)
모범택시3,모범택시3,drama,61,138,30,15,문화교통(11) / 신선중학교(8) / 정북동 토성(5) / 부남해변(4) / 천사대교(4)
부산행,부산행,movie,61,7,4,3,부전역(4) / 동대구역(3) / 행신역(2) / 삽교역(1) / 부산영화촬영스튜디오(0)
알고있지만,알고있지만,drama,61,40,7,6,3917마중(11) / 여유도예공방(6) / 울산대학교(4) / 미메시스 아트 뮤지엄(2) / 삽교호놀이동산(2)
엄마친구아들,엄마친구아들,drama,61,120,60,14,구와우마을(14) / 남산타워(8) / 빌라드파넬(6) / 왕짱구식당(6) / 고반식당 미금역점(5)
철인왕후,철인왕후,drama,61,10,5,4,궁남지(41) / 광한루원(18) / 용인대장금파크(5) / 문경새재 오픈세트장(2) / 선교장(1)
광장,광장,drama,60,35,7,3,성모의원(3) / 국회의사당(2) / 사비나미술관(1) / 남부상가아파트(1) / 성지펜션(1)
여신강림,여신강림,drama,60,82,15,5,설리 스카이워크(13) / 왕자만화방(와이앤아니마)(8) / 국립현대미술관 서울관 앞 도로(삼청로)(3) / 상주은모래비치(3) / 감고당길(2)
태풍상사,태풍상사,drama,60,105,34,14,브라운핸즈 개항로(24) / 더포레(11) / 인천역(5) / 동작대교(5) / 디와이(4)
내부자들,내부자들,movie,58,6,2,3,아소산 일산본점(2) / 운보의 집(1) / 마포공덕시장(0) / 운보의집운보미술관(0) / 익산 교도소 세트장(0)
괴물,괴물,movie,57,3,2,3,동작대교(1) / 잠실대교(1) / 여의도공원(0)
김비서가왜그럴까,김비서가 왜 그럴까 / 김비서가왜그럴까,drama,57,22,5,3,보정동 카페거리(4) / 지혜의숲(4) / 한탄강 하늘다리(4) / 에버랜드(1) / 의외의조합(1)
범죄도시3,범죄도시3,movie,57,5,4,4,송도센트럴파크호텔(7) / 팬시 앤 게임(4) / 춘천경찰서(2) / 김포 아라마리나(2) / 테헤란로86길·명진빌딩 앞(0)
