id,title,place_name,tier,유효언급_글수,저자수,popularity_score,근거_URL_상위3
st_20085,갯마을 차차차,석병1리 방파제,A,3,3,7.3,http://blog.naver.com/seonju4451/222510847521 | https://blog.naver.com/seonju4451/222510847521 | https://blog.naver.com/thanklk/222519059417
st_01452,경이로운소문2,이케아 고양점,S,5,4,100.0,https://blog.naver.com/kws3128pdm/224310389268 | https://blog.naver.com/kws3128pdm/223766237520 | https://blog.naver.com/my1002/223210688378
st_01413,경이로운소문2,루하스사우나,S,3,3,60.0,https://blog.naver.com/kws3128pdm/224310389268 | https://blog.naver.com/redmee2/223203407604 | https://blog.naver.com/hsc_one1/223162991545
st_01461,경이로운소문2,금강랜드,A,2,2,40.0,https://blog.naver.com/hsc_one1/223162991545 | https://blog.naver.com/redmee2/223203373769
st_01426,경이로운소문2,동부빌딩,A,2,2,40.0,https://blog.naver.com/my1002/223210688378 | https://blog.naver.com/hsc_one1/223162991545
st_01442,경이로운소문2,서정대학교 서정관,A,2,2,40.0,https://blog.naver.com/hsc_one1/223162991545 | https://blog.naver.com/redmee2/223184988288
mv_2758,공조,낙산공원,B,1,1,100.0,https://blog.naver.com/tty21/223176314135
mv_5897_04,공조2: 인터내셔날,세빛섬,B,1,1,100.0,https://forcar.tistory.com/636
mv_5897_06,공조2: 인터내셔날,조선팰리스 강남,B,1,1,100.0,https://forcar.tistory.com/636
mv_1611_01,관상,설매재자연휴양림,S,7,7,100.0,https://blog.naver.com/kimrg/220515779687 | https://blog.naver.com/hanjun66/220192234983 | http://blog.naver.com/mhyoungman/222063337226
mv_1611_04,관상,궁남지,A,4,2,57.1,https://blog.naver.com/seaotterhehe/224183590711 | http://blog.naver.com/seaotterhehe/224183590711 | http://blog.naver.com/buyeoguntour/220039702282
st_01618,광장,성모의원,S,3,3,100.0,https://blog.naver.com/bladekwon/223891951186 | https://blog.naver.com/gilde613/223065952568 | https://blog.naver.com/mozzzang/223366609487
mv_1363_02,"광해, 왕이 된 남자",부안영상테마파크,S,5,5,100.0,https://blog.naver.com/gpal5062/224285100079 | https://gaorida.tistory.com/3 | https://blog.naver.com/ryu71s/224285834372
mv_1363_01,"광해, 왕이 된 남자",문경새재 오픈세트장,S,4,4,80.0,https://blog.naver.com/gyeongbuk_official/224282014023 | https://blog.naver.com/axax79/224194349423 | https://blog.naver.com/keklove1009/224248479840
mv_1363_07,"광해, 왕이 된 남자",전주 경기전,S,3,3,60.0,https://tiempolibre.tistory.com/79 | https://dondedonde.tistory.com/122 | https://blog.naver.com/minago_/224202067859
mv_1363_06,"광해, 왕이 된 남자",남원 광한루원,A,2,2,40.0,https://blog.naver.com/parksb44/221444635696 | https://blog.naver.com/ryu71s/224285834372
mv_0478,괴물,동작대교,B,1,1,100.0,https://blog.naver.com/hs21589/220811960991
mv_0476,괴물,잠실대교,B,1,1,100.0,https://blog.naver.com/orrbogu0/223638316779
mv_0888_01,국가대표,알펜시아 스키점프센터,S,4,4,100.0,https://blog.naver.com/kary_oung/222630779964 | https://blog.naver.com/yulki_family/224343484334 | https://blog.naver.com/heika1502/222990066212
mv_1766_02,국제시장,국제시장(꽃분이네),S,59,56,100.0,https://blog.naver.com/joyhm_/224356277058 | https://blog.naver.com/raonese/224270503738 | https://blog.naver.com/omorningnote/220228610178
mv_1766_01,국제시장,용두산공원,A,8,11,13.6,https://blog.naver.com/omorningnote/220228610178 | https://blog.naver.com/spxl1010/222344822240 | https://blog.naver.com/hs21589/221484323450
mv_1766_06,국제시장,천마산 하늘전망대,A,6,6,10.2,https://blog.naver.com/raonese/224270503738 | https://blog.naver.com/spxl1010/222344822240 | https://blog.naver.com/kikitravellife/224101464879
mv_3837,극한직업,배다리헌책방거리,S,15,14,100.0,https://blog.naver.com/cjhtype/221446609300 | https://blog.naver.com/incheontogi/222291198013 | https://blog.naver.com/woaks6649/224120525898
mv_3839,극한직업,광양항,A,4,3,26.7,https://blog.naver.com/gwangyangsi/221462846842 | https://blog.naver.com/zzkkc/224231144507 | https://blog.naver.com/sarangcho10/221461410414
st_02408,기생충,스카이피자,S,19,16,100.0,https://blog.naver.com/hshyun0602/221571821741 | https://blog.naver.com/ostw/221809001878 | https://blog.naver.com/ditongss/221807264360
mv_3810_01,기생충,돼지쌀슈퍼,S,16,14,84.2,https://blog.naver.com/ostw/221809001878 | https://blog.naver.com/fmfaith/221810461413 | https://blog.naver.com/hotpink3/221810329227
st_02409,기생충,돼지슈퍼,S,15,14,78.9,https://blog.naver.com/hshyun0602/221571821741 | https://blog.naver.com/ditongss/221807264360 | https://blog.naver.com/fmfaith/221810461413
st_02415,기생충,자하문터널계단,S,13,13,68.4,https://blog.naver.com/kslee0691/224289693818 | https://blog.naver.com/ostw/221809001878 | https://blog.naver.com/fmfaith/221810461413
st_02410,기생충,기택동네계단,S,12,11,63.2,https://blog.naver.com/ostw/221809001878 | https://blog.naver.com/fmfaith/221810461413 | https://blog.naver.com/huo223/221809273646
st_02412,기생충,박사장집,S,8,6,42.1,https://blog.naver.com/hshyun0602/221571821741 | https://blog.naver.com/cjhtype/221547151767 | https://blog.naver.com/ditongss/221807264360
st_02413,기생충,올가홀푸드,A,4,3,21.1,https://blog.naver.com/hshyun0602/221571821741 | https://blog.naver.com/ditongss/221807264360 | https://blog.naver.com/mhn_news/223969918764
st_02416,기생충,높은계단,A,3,2,15.8,https://blog.naver.com/hshyun0602/221571821741 | https://blog.naver.com/kdh6988/221944710121 | http://blog.naver.com/hshyun0602/221571821741
st_02593,김부장,소낭구펜션,S,9,9,100.0,https://blog.naver.com/min0938/224330233554 | https://blog.naver.com/buja1202/224328362037 | https://blog.naver.com/jh2soft/224346601283
st_02591,김부장,호텔리베라 거제,S,9,9,100.0,https://blog.naver.com/min0938/224330233554 | https://blog.naver.com/moen6760/224350640945 | https://blog.naver.com/buja1202/224328362037
st_02572,김부장,세람저축은행 본점,S,5,5,55.6,https://blog.naver.com/min0938/224330233554 | https://blog.naver.com/ryu71s/224334664141 | https://blog.naver.com/redpow1306/224339245993
st_02548,김부장,SBS일산제작센터,S,4,4,44.4,https://blog.naver.com/min0938/224330233554 | https://blog.naver.com/ryu71s/224334664141 | https://blog.naver.com/rbfl2014/224362226328
st_02513,김부장,마포소금구이,S,4,4,44.4,https://blog.naver.com/min0938/224330233554 | https://blog.naver.com/ryu71s/224334664141 | https://blog.naver.com/buja1202/224328362037
st_02517,김부장,평창사 세탁,S,4,4,44.4,https://blog.naver.com/min0938/224330233554 | https://blog.naver.com/moen6760/224350640945 | https://blog.naver.com/marieyong/224344207158
st_02521,김부장,대진고등학교,S,3,4,33.3,https://blog.naver.com/min0938/224330233554 | https://blog.naver.com/ryu71s/224334664141 | https://blog.naver.com/buja1202/224328362037
st_02545,김부장,문발초등학교앞,S,3,3,33.3,https://blog.naver.com/min0938/224330233554 | https://blog.naver.com/ryu71s/224334664141 | https://blog.naver.com/cheezes2/224336861993
st_02549,김부장,얼반웍스스튜디오,S,3,3,33.3,https://blog.naver.com/min0938/224330233554 | https://blog.naver.com/ryu71s/224334664141 | https://blog.naver.com/redpow1306/224339245993
st_02573,김부장,여주성당,S,3,3,33.3,https://blog.naver.com/min0938/224330233554 | https://blog.naver.com/ryu71s/224334664141 | https://blog.naver.com/buja1202/224328362037
st_02592,김부장,옥화마을,S,3,3,33.3,https://blog.naver.com/newswa_official/224362690210 | https://blog.naver.com/cheezes2/224336861993 | https://blog.naver.com/mkts98/224342679098
st_02537,김부장,크리스찬메모리얼파크,S,3,3,33.3,https://blog.naver.com/min0938/224330233554 | https://blog.naver.com/ryu71s/224334664141 | https://blog.naver.com/buja1202/224328362037
st_02552,김부장,포유포레,S,3,3,33.3,https://blog.naver.com/min0938/224330233554 | https://blog.naver.com/ryu71s/224334664141 | https://blog.naver.com/buja1202/224328362037
