place_name,place_address,naver_url,naver_lat,naver_lng,verdict
화적연,경기 포천시 영북면 자일리 산 115-2,https://map.naver.com/p/entry/place/18338274,38.1151413,127.26252,adopt
한류월드로,경기 고양시 일산서구 한류월드로 300,https://map.naver.com/p/entry/place/1530246997,37.664554,126.7545265,adopt
순성당,경기 고양시 덕양구 호국로812번길 15,https://map.naver.com/p/entry/place/1632263247,37.655779,126.8365647,adopt
계성학교 핸더슨관,대구 중구 달성로 35,https://map.naver.com/p/entry/place/16157514,35.8675018,128.5807034,adopt
다대포해수욕장,부산 사하구 다대동,https://map.naver.com/p/entry/place/13491855,35.0471271,128.9632342,adopt
마포대교아래,서울 영등포구 여의도동 84,https://map.naver.com/p/entry/place/18999832,37.5340684,126.9375033,adopt
여의도IFC,서울 영등포구 국제금융로 10,https://map.naver.com/p/entry/place/1591620827,37.5248506,126.9255781,adopt
동작대교 아래,서울 용산구 용산동6가 452-1,https://map.naver.com/p/entry/place/18726869,37.510825,126.9819963,adopt
용산전자상가 제4공영주차장,서울 용산구 원효로3가 50-2,https://map.naver.com/p/entry/place/21185829,37.5339975,126.960749,adopt
CU뉴명동YWCA점,서울 중구 명동11길 8-2,https://map.naver.com/p/entry/place/1640170790,37.5644217,126.9862498,adopt
아키라백,서울 종로구 새문안로 97 12층,https://map.naver.com/p/entry/place/1135500385,37.5706979,126.9753951,adopt
찰스H,서울 종로구 새문안로 97 LL층,https://map.naver.com/p/entry/place/37402393,37.5706026,126.9753639,adopt
블라썸,경기 파주시 가람로21번길 46,https://map.naver.com/p/entry/place/1746984806,37.7361571,126.7524899,adopt
강화대교,경기 김포시 월곶면 성동리,https://map.naver.com/p/entry/place/19106759,37.7335576,126.5236626,adopt
하남돼지집 풍산 직영점,경기 하남시 미사강변중앙로 43,https://map.naver.com/p/entry/place/35720246,37.5509999,127.1930366,adopt
신반포로,서울 서초구 신반포로 213,https://map.naver.com/p/entry/place/19585706,37.50465,127,adopt
인스파이어리조트,인천 영종구 공항문화로 127,https://map.naver.com/p/entry/place/1134447143,37.4655446,126.389622,adopt
