id,place_name,google_place_id,google_url,photo_url,google_lat,google_lng,match_confidence,matched_name,matched_address
st_18855,현대맨션1차 105동,ChIJ4QHnWbPkDDURex4Ce3aHNBg,https://maps.google.com/?cid=1744167898638851707&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,33.51531,126.5077383,low,용두암1차현대아파트,대한민국 제주특별자치도 제주시 특별자치도 용담로5길 25
st_18857,바람부는언덕,ChIJl6FvcgBBDDURq3ZqJiyrCJI,https://maps.google.com/?cid=10522848735462586027&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,33.1980576,126.29395090000001,high,바람부는언덕,대한민국 서귀포시 대정읍 최남단해안로 548-98
st_19047,데이터복구연구소,ChIJxe11pfOjfDURogS7TL55ssc,https://maps.google.com/?cid=14389697617640228002&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://lh3.googleusercontent.com/place-photos/AG9NLjD7ULIrBB738n9oBjRBxHwWwTpOMI1PtvGM6gZnrDs8Z_glS8thhVWtC-Mq7CBqG34VAi-5GrCI-XobTiGuTfktbURx8L7GaGuw4p0JHHX_t-8XSN00mTA4L4R-s71pFcsOCubY7xCKdztK5A=s4800-w800,37.5160766,127.03272059999999,high,데이터복구연구소,대한민국 서울특별시 논현동 83-2번지 하동 1층 강남구 서울특별시 KR
st_19048,NC백화점,ChIJDWB-DW6cfDURujKueLymiow,https://maps.google.com/?cid=10127090040504726202&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://lh3.googleusercontent.com/place-photos/AG9NLjDsnric2-WblE0iB1ngA8wMb33AkXIT06VN7gSHAAkc6f2S4zrtLl7YLx_Z1Wqq3NRg_kcc2LZmTDNdYWrQGOSxgv4zJjDUOay1WfCv0n9hGv3V_ED2N_rdoUEYRwtJfEu45_JXoQmFd7kuDw=s4800-w800,37.559903899999995,126.84051219999998,high,NC백화점 강서점,대한민국 서울특별시 강서구 강서로56길 17
st_19049,하계2치안센터,ChIJaeHFOdm7fDURo4O65wMWtyw,https://maps.google.com/?cid=3222068264435352483&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,37.6319173,127.0675423,high,하계2치안센터,대한민국 서울특별시
st_19050,서울노원경찰서,ChIJQ9zARmW5fDURgrNe_TNJWP4,https://maps.google.com/?cid=18327479171227235202&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,37.6421389,127.07104729999999,high,서울노원경찰서,대한민국 서울특별시 노원구 노원로 283
st_19051,인덕대학앞,ChIJkTiE8-W7fDURRHrN54lDMyo,https://maps.google.com/?cid=3040848432983800388&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,37.631419099999995,127.05482490000001,low,인덕대학교,대한민국 서울특별시 노원구 초안산로 12
st_19052,동작대교전망대앞,ChIJXzmJ-pOhfDURp7vAKyQP2mI,https://maps.google.com/?cid=7123022408667151271&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,37.505767999999996,126.980251,low,동작대교전망카페,대한민국 서울특별시
st_19053,성산동집,ChIJx6-HCeSYfDURh-GYe02hJxo,https://maps.google.com/?cid=1884652323236012423&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,37.566561899999996,126.91660479999999,low,연탄생고기집 성산점,대한민국 서울특별시 마포구 연남로13길 13
st_19054,새누리어린이공원,ChIJewseTxCZfDURSVj8nc8hMgs,https://maps.google.com/?cid=806744458845247561&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://lh3.googleusercontent.com/place-photos/AG9NLjCTiGCtLVWElFOuvBhjGmYJoywKRqoXrxLPzSVgkfv9hx-fyFvleRVVuuAZ5Ykfn91zzQT0FobbP_YI4Im6Erw0HDF81HeyX9Yo5iDOqe0kW_klG2x7Rbjr3SC5pX3g50cVzbRzalhi-HJn=s4800-w800,37.575449,126.8981715,high,새누리어린이공원,대한민국 서울특별시 마포구 상암동
st_19055,JTBC,ChIJ3QRoi-WZfDURX2PW52tpUus,https://maps.google.com/?cid=16956731459175342943&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://lh3.googleusercontent.com/place-photos/AG9NLjDmYbXpBwWS8gBZnTIU1ITr_DJHviYbjmpY4pnBUxYqTTIq2s5sYUfBLSEz6gMdysToDvzj3pfQyACnl1qbUKDGFMaTYfbLgqI7VQHLw1JkJ1BmLsBaFG4Z_C68jp9c7OgjAOWiRPr06etQ_Q=s4800-w800,37.5766147,126.8896532,high,JTBC,대한민국 서울특별시 마포구 상암산로 38
st_19056,YTN&CJ사이,ChIJtXDtHsOYfDURD30SgIQDZ58,https://maps.google.com/?cid=11486153242251001103&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,37.5586787,126.923007,low,(주)아이씨이,대한민국 서울특별시 주) I.C.E 6층 KR 서울특별시 마포구 호성빌딩
st_19059,MBC앞,ChIJIw9yEg2ZfDUR728m0xo6buI,https://maps.google.com/?cid=16316042386895957999&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,37.5811662,126.8907777,low,MBC 문화방송 본사,대한민국 서울특별시 마포구 성암로 267
st_19060,중앙공인중개사사무소,ChIJr3oXW-OYfDURJ8i6kezsfj8,https://maps.google.com/?cid=4575354772256376871&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,37.5698666,126.9158366,mid,중앙공인중개사사무소,대한민국 서울특별시 서대문구 남가좌동 291-2
st_19062,카나,ChIJp3DFw4eifDUR0U6I7uqXx00,https://maps.google.com/?cid=5604615296565923537&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,37.5637877,126.964006,mid,(주)카나,대한민국 서울특별시 서대문구 충정로2가 185-10
st_19063,힐하우스,ChIJHcDzbvSifDURgMMeBm_jyNM,https://maps.google.com/?cid=15260697403328480128&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://lh3.googleusercontent.com/place-photos/AG9NLjBpjsgQdVuBSDh2-CG8_x_T6fjqWhetOZyTIjDtkEwnooGpYVJ09dXbtI99F8cy5LZ2U9W1LX5NtPSnlt9Pun1SpJsHMYdLv09LGbjXy9Lv3u0iIh8Sw2lZHbb5OOjivunOAWen6_6nKFi3chQ=s4800-w350,37.556799999999996,126.98200000000001,mid,힐하우스호텔,대한민국 서울특별시 중구 소공로3길 42
st_19064,해담는다리,ChIJ1YutaQCZfDURSqzPQR-v9bg,https://maps.google.com/?cid=13327751221055827018&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://lh3.googleusercontent.com/place-photos/AG9NLjDGoyTwO_jrTwIUY1n4fjnSyXf1NdFt6ayzl9kooOZ8azZEObjUDJJLwarmr452MzV6MOct2mpkGiOOnrzzL2JYbM_zF4wjjVST56tL6vxsfnGreen_ouCbvHKu16eL1BPF5h51Nz8wdfNv=s4800-w800,37.582411799999996,126.9089603,high,해담는다리,대한민국 서울특별시 서대문구 불광천길 162
st_19065,연희주택,ChIJ26JTzvqYfDUR6lvTL3rxXz4,https://maps.google.com/?cid=4494576460229729258&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,37.5694672,126.91999580000001,high,연희주택설비,대한민국 서울특별시 서대문구 연희동 541-43
st_19066,첼시하우스,ChIJma7xrPWYfDURi6Qqq8p6GOY,https://maps.google.com/?cid=16580137039038162059&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,37.5726584,126.9294719,high,첼시하우스,대한민국 서울특별시
st_19067,연희하이츠빌라,ChIJ95hYS6mZfDURXVI2YBiyhug,https://maps.google.com/?cid=16755275281441641053&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://lh3.googleusercontent.com/place-photos/AG9NLjCpbVbqNEQ6fE6JEYwS5iZJwLg45L9rEp7-nNueyyzIw2-V6ZRUYVwhrzQgG4HVBX-QnmKsuz5t41e9s-d317qToKoLpbNu3nMrkHianUh_n0LIlKqHUkyTGumNfIuSBIL-FS1gDllnujM5HQA=s4800-w800,37.5733402,126.93077939999999,high,연희하이츠빌라,대한민국 서울특별시 서대문구 연희동 200-49
