id,place_name,kakao_place_id,kakao_url,kakao_lat,kakao_lng,match_confidence,matched_name,matched_address
st_20559,서피비치,26911134,http://place.map.kakao.com/26911134,38.0278344414,128.7172823119,high,서피비치,강원특별자치도 양양군 현북면 하조대해안길 119
st_20560,스카이베이호텔 경포,27507368,http://place.map.kakao.com/27507368,37.804310347,128.9077403058,high,스카이베이호텔 경포,강원특별자치도 강릉시 해안로 476
st_20561,고구려대장간마을 주차장,17578329,http://place.map.kakao.com/17578329,37.5612513479,127.1104657485,high,고구려대장간마을 주차장,경기 구리시 아천동 40-4
st_20562,롯데월드 어드벤처,27560699,http://place.map.kakao.com/27560699,37.5111305999,127.0981198004,high,롯데월드 어드벤처,서울 송파구 올림픽로 240
st_20563,화랑육교,27276452,http://place.map.kakao.com/27276452,37.4016144517,127.1053202882,high,화랑육교,경기 성남시 분당구 삼평동 668-3
st_20564,은성회관,8536853,http://place.map.kakao.com/8536853,37.5196200649,126.9300335011,high,은성회관,서울 영등포구 여의대방로65길 12
st_20565,N서울타워,1629378951,http://place.map.kakao.com/1629378951,37.5513049703,126.9882306221,high,N서울타워,서울 용산구 남산공원길 105
st_20566,인천국제공항 제2여객터미널,26423394,http://place.map.kakao.com/26423394,37.4677413827,126.4345486713,high,인천국제공항 제2여객터미널,인천 영종구 운서동 2868
st_20567,영등포시장역,21160665,http://place.map.kakao.com/21160665,37.5227093839,126.905179567,high,영등포시장역 5호선,서울 영등포구 양산로 지하 200
st_20568,이마트 트레이더스 킨텍스점,2111508200,http://place.map.kakao.com/2111508200,37.6616010849,126.7441139945,mid,SK브로드밴드 이마트트레이더스킨텍스점,경기 고양시 일산서구 킨텍스로 171
st_20569,별내푸르지오아파트,21906970,http://place.map.kakao.com/21906970,37.6683005604,127.1289973531,high,별내푸르지오아파트,경기 남양주시 송산로307번길 22
st_20570,포천 한탄강 하늘다리,1615258606,http://place.map.kakao.com/1615258606,38.0842629608,127.2179913609,high,포천한탄강하늘다리,경기 포천시 영북면 대회산리 산 42-1
st_20571,선녀바위해변,12644123,http://place.map.kakao.com/12644123,37.4394759361,126.3787081896,high,선녀바위해변,인천 영종구 을왕동 678-188
st_20572,한국민속촌,8135083,http://place.map.kakao.com/8135083,37.2596152254,127.1198007203,high,한국민속촌,경기 용인시 기흥구 민속촌로 90
st_20573,코모도호텔 부산,8104597,http://place.map.kakao.com/8104597,35.10895896,129.0351880975,high,코모도호텔 부산,부산 중구 중구로 151
st_20574,한라산국립공원(어리목),17169411,http://place.map.kakao.com/17169411,33.3926932545,126.4945372093,high,한라산국립공원 어리목본소,제주특별자치도 제주시 1100로 2070-61
st_20575,별마로천문대,15280358,http://place.map.kakao.com/15280358,37.1983292396,128.4867824914,high,별마로천문대,강원특별자치도 영월군 영월읍 영흥리 154-3
st_20576,비내섬,11495420,http://place.map.kakao.com/11495420,37.1076324524,127.8177258622,high,비내섬,충북 충주시 소태면 복탄리 908
st_20577,탄금호 무지개길,533441543,http://place.map.kakao.com/533441543,37.0122945149,127.8695481885,high,탄금호무지개길,충북 충주시 중앙탑면 루암리 642
st_20578,중앙탑사적공원,17697891,http://place.map.kakao.com/17697891,37.0171167918,127.8668591487,high,중앙탑사적공원,충북 충주시 중앙탑면 탑정안길 6
st_20579,시크릿블루카페(괜찮은병원),,,,,failed,,
st_20580,아야진해변,1805073287,http://place.map.kakao.com/1805073287,38.2772526606,128.552785393,mid,CU 아야진해변점,강원특별자치도 고성군 토성면 아야진해변길 165
st_20581,사니다카페(저주받은 성),,,,,failed,,
st_20582,소금산출렁다리,8114571,http://place.map.kakao.com/8114571,37.3686658928,127.8246811974,high,소금산출렁다리,강원특별자치도 원주시 지정면 간현리 산 116-1
st_20583,의정부미술도서관,996959901,http://place.map.kakao.com/996959901,37.7451458118,127.1061274202,high,의정부미술도서관,경기 의정부시 민락로 248
st_20584,옥정호수공원,1215958576,http://place.map.kakao.com/1215958576,37.8243663745,127.0968770034,high,옥정호수공원,경기 양주시 옥정동 864-798
st_20585,속초설악한옥펜션,,,,,low,,
st_20586,상도문 돌담마을,853690564,http://place.map.kakao.com/853690564,38.1651766432,128.553122375,high,상도문 돌담마을,강원특별자치도 속초시 상도문1길 30
st_20587,현대프리미엄아울렛 송도점,423643023,http://place.map.kakao.com/423643023,37.3816288301,126.6579167097,high,현대프리미엄아울렛 송도점,인천 연수구 송도국제대로 123
st_20588,행궁동벽화마을,26829413,http://place.map.kakao.com/26829413,37.2858165656,127.0166197937,high,행궁동벽화마을,경기 수원시 팔달구 화서문로 82-6
st_20589,수원화성 화홍문,11387143,http://place.map.kakao.com/11387143,37.2875455133,127.0176260902,high,수원화성 화홍문,경기 수원시 팔달구 북수동 9000-1
st_20590,방화수류정,25049860,http://place.map.kakao.com/25049860,37.2875724678,127.0181335657,high,방화수류정,경기 수원시 팔달구 화성성곽길 233
st_20591,연무대주차장,17122359,http://place.map.kakao.com/17122359,37.2873444651,127.0234856032,high,연무대주차장,경기 수원시 팔달구 매향동 3-17
st_20592,크로싱 게스트하우스(오목대),,,,,failed,,
st_20593,한벽굴(한벽터널),,,,,failed,,
st_20594,소리방앗간(만화방),,,,,failed,,
st_20595,전주고등학교(분수),,,,,failed,,
st_20596,전주한옥마을,17371430,http://place.map.kakao.com/17371430,35.8182549187,127.1536480822,high,전주한옥마을 관광안내소,전북특별자치도 전주시 완산구 기린대로 99
st_20597,논산여자상업고등학교(태양고),,,,,failed,,
st_20598,와룡공원,10627174,http://place.map.kakao.com/10627174,37.5911687764,126.9901220392,high,와룡공원,서울 종로구 와룡공원길 192
st_20599,애기능생태공원,,,,,failed,,
st_20600,문화살롱 클로드,,,,,failed,,
st_20601,묵호항,7873573,http://place.map.kakao.com/7873573,37.5497974287,129.1123912563,high,묵호항,강원특별자치도 동해시 임항로 121
st_20602,신남해수욕장(방파제),,,,,failed,,
st_20603,하조대해변,1812698478,http://place.map.kakao.com/1812698478,38.0214864534,128.7262519892,mid,CU 하조대해변점,강원특별자치도 양양군 현북면 하조대해안길 11
st_20604,춘천대교,1686263230,http://place.map.kakao.com/1686263230,37.8884823396,127.7089443755,high,춘천대교,강원특별자치도 춘천시 근화동 609
st_20605,동명해변(금진리),,,,,failed,,
st_20606,가애택 오션뷰펜션,,,,,failed,,
st_20607,삼포해수욕장,11142281,http://place.map.kakao.com/11142281,38.3153743689,128.5350965908,high,삼포해수욕장,강원특별자치도 고성군 죽왕면 삼포리
st_20608,수원화성(교동),,,,,low,,
st_20609,동네슈퍼(남고산2길),,,,,failed,,
st_20610,삼성역교차로(코엑스 교차로),10825880,http://place.map.kakao.com/10825880,37.514035551,127.0603378203,mid,코엑스교차로,서울 강남구 삼성동
st_20611,세빛섬,12322745,http://place.map.kakao.com/12322745,37.5123317748,126.995888516,high,세빛섬,서울 서초구 올림픽대로 2085-14
st_20612,동부산관광단지 센트럴원,,,,,low,,
st_20613,서울대학교병원 암병원,12538183,http://place.map.kakao.com/12538183,37.5787787079,126.9975999763,high,서울대학교병원 암병원,서울 종로구 대학로 101
