id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,슬기로운감빵생활,Prison Playbook,drama,박해수;정경호,익산교도소세트장,교도소 오픈세트장,전북특별자치도 익산시 성당면 함낭로 207,,,,,,https://www.jjan.kr/article/20241227580012?site_preference=normal;https://www.50plus.or.kr/life/detail.do?id=14959174,2026-07-30
,슬기로운감빵생활,Prison Playbook,drama,박해수;정경호,빠삐용Zip(옛 장흥교도소),문화예술공간/옛 교도소,전남 장흥군 장흥읍 장흥로 98,,,,,,https://www.korean-culture.org/eng/webzine/202204/sub02.html;https://www.jhctf.or.kr/www/key_project/tour_course/theme/history;https://mojhome.moj.go.kr/sites/immigration/file/ebook/gongzone/2022/2022_gongzone_vol61.pdf,2026-07-30
,슬기로운감빵생활,Prison Playbook,drama,박해수;정경호,고척스카이돔,야구장,서울 구로구 경인로 430,,,,,,https://alienbeing.tistory.com/1199,2026-07-30
,슬기로운감빵생활,Prison Playbook,drama,박해수;정경호,지노,갤러리카페,경기 파주시 탄현면 새오리로 211-17,,,,,,https://alienbeing.tistory.com/1083,2026-07-30
