id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,"이번 생도 잘 부탁해","See You in My 19th Life",drama,"신혜선;안보현;하윤경",채석강,해안절벽,"전북특별자치도 부안군 변산면 변산해변로 1",,,,,,"https://english.visitkorea.or.kr/svc/sp/HallyuNew/contentsView.do?dataSetId=70&vcontsId=198507;https://korea.stripes.com/travel/romance-filled-trip-to-k-drama-filming-locations.html",2026-07-30
,"이번 생도 잘 부탁해","See You in My 19th Life",drama,"신혜선;안보현;하윤경",보리나라 학원농장,농장,"전북특별자치도 고창군 공음면 학원농장길 154",,,,,,"https://english.visitkorea.or.kr/svc/sp/HallyuNew/contentsView.do?dataSetId=70&vcontsId=198507;https://korea.stripes.com/travel/romance-filled-trip-to-k-drama-filming-locations.html",2026-07-30
,"이번 생도 잘 부탁해","See You in My 19th Life",drama,"신혜선;안보현;하윤경",남사예담촌,한옥마을,"경남 산청군 단성면 지리산대로2897번길 10",,,,,,"https://www.gnfilm.or.kr/location/filmshow/73;https://korea.stripes.com/travel/romance-filled-trip-to-k-drama-filming-locations.html",2026-07-30
,"이번 생도 잘 부탁해","See You in My 19th Life",drama,"신혜선;안보현;하윤경",무진정,누정,"경남 함안군 함안면 괴산4길 25",,,,,,"https://www.gnfilm.or.kr/location/filmshow/73;https://korea.stripes.com/travel/romance-filled-trip-to-k-drama-filming-locations.html;https://koreatravelart.wordpress.com/2023/07/23/%E4%BB%8A%E7%94%9F%E4%B9%9F%E8%AB%8B%E5%A4%9A%E6%8C%87%E6%95%99%E6%8B%8D%E6%94%9D%E5%9C%B0%E9%BB%9E-see-you-in-my-19th-life-filming-location/",2026-07-30
,"이번 생도 잘 부탁해","See You in My 19th Life",drama,"신혜선;안보현;하윤경",산청동의보감촌,한방테마파크,"경남 산청군 금서면 동의보감로555번길 61",,,,,,"https://www.gnfilm.or.kr/location/filmshow/73",2026-07-30
