id,place_name,search_key,naver_url,naver_lat,naver_lng,confidence,matched_name
st_09552,경수대로743번길,경수대로743번길,,,,failed,
st_09554,화홍문앞,화홍문,https://map.naver.com/p/entry/place/19802086,37.2875447,127.0176347,high,화홍문
st_09556,화홍문근처,화홍문,https://map.naver.com/p/entry/place/19802086,37.2875447,127.0176347,high,화홍문
st_09557,북동포루가는길,북동포루,https://map.naver.com/p/entry/place/20605520,37.2885976,127.0164688,mid,수원화성북동포루
st_09566,아야진소길,아야진소길,https://map.naver.com/p/entry/place/15151865,38.2697974,128.5536269,high,아야진소길
st_09568,스테이해돋 앞바다,스테이해돋,https://map.naver.com/p/entry/place/1409076222,38.2702456,128.5571024,coord,스테이해돋
st_09572,마도길(2),2,,,,failed,
st_09573,마도길,마도길,https://map.naver.com/p/entry/place/19667002,36.6840487,126.1354871,high,마도길
st_09578,금강공원길,금강공원길,https://map.naver.com/p/entry/place/17695560,36.4667872,127.1217536,mid,금강공원길
st_10114,동일슈퍼,동일슈퍼,,,,failed,
st_10118,오동근린공원,오동근린공원(성북),https://map.naver.com/p/entry/place/2142678881,37.611667,127.0401892,coord,오동근린공원 물놀이장
st_10119,새창로49길,새창로49길,https://map.naver.com/p/entry/place/18722535,37.5343489,126.963919,mid,새창로49길
st_17553,새창로49길,새창로49길,https://map.naver.com/p/entry/place/18722535,37.5343489,126.963919,mid,새창로49길
st_10120,삼부조명,삼부조명,,,,failed,
st_10124,보신각터,보신각,https://map.naver.com/p/entry/place/13541987,37.569795,126.9835376,coord,보신각
st_10153,강변북로,강변북로,https://map.naver.com/p/entry/place/19318790,37.5430479,127.023809,coord,강변북로
st_10155,코엑스교차로,코엑스,,,,failed,
st_10217,그랜드마트앞,그랜드마트,,,,failed,
st_10218,송림로61번길,송림로61번길,,,,failed,
st_10222,약산길,약산길,https://map.naver.com/p/entry/place/19471858,37.6796718,126.7917816,mid,약산길
st_10223,라몬테이탈리아노,라몬테이탈리아노,https://map.naver.com/p/entry/place/1783644094,37.6599747,126.7550712,coord,LA MONTE ITALIANO
