title,category,matched_title,year,director,poster_url,status
스물다섯 스물하나,drama,스물다섯 스물하나,2022,정지현,https://image.tmdb.org/t/p/w500/706Ar36Q1XT3056JQHoYpJbh6W0.jpg,ok
스위트홈 2,drama,스위트홈,2020,이응복,https://image.tmdb.org/t/p/w500/kJEcSBMPacDJuAihPNmcUEgon1Y.jpg,ok
스프링 피버,drama,스프링 피버,2026,박원국,https://image.tmdb.org/t/p/w500/jTJgfbSQ4UczxMOgscHPsoVuL5X.jpg,ok
슬기로운 의사생활,drama,슬기로운 의사생활,2020,신원호,https://image.tmdb.org/t/p/w500/zy0FJYPsKkfOrZG5r5lFtTIx1up.jpg,ok
신입사원 강회장,drama,신입사원 강회장,2026,고혜진,https://image.tmdb.org/t/p/w500/ryoklqf5Xi76b1Cqb0h4I7zL6qa.jpg,ok
아파트,drama,아파트,2026,조용원,https://image.tmdb.org/t/p/w500/wR7y2h0ccbaTnU5KpUjKIesflng.jpg,ok
약한영웅 Class 2,drama,약한영웅,2022,유수민;박단희,https://image.tmdb.org/t/p/w500/jXd83QZhBDAFno4OGqHcMMDs56i.jpg,ok
언더커버 미쓰홍,drama,언더커버 미쓰홍,2026,박선호,https://image.tmdb.org/t/p/w500/nJ0gSaXfoiPFngy1ulCCuxsKt0q.jpg,ok
에스콰이어: 변호사를 꿈꾸는 변호사들,drama,에스콰이어: 변호사를 꿈꾸는 변호사들,2025,Kim Jae-hong,https://image.tmdb.org/t/p/w500/y9SDvLKABqz0FWymCz6IGhpYoFs.jpg,ok
역도요정 김복주,drama,역도요정 김복주,2016,오현종,https://image.tmdb.org/t/p/w500/ssKVvJM341QiRdBmj8fOAOcpYdl.jpg,ok
오싹한 연애,drama,오싹한 연애,2026,Lee Min-soo,https://image.tmdb.org/t/p/w500/zyK5BHhUl9NtAUFaKOpgCQWW9My.jpg,ok
오징어 게임,drama,오징어 게임,2021,황동혁,https://image.tmdb.org/t/p/w500/yACIAqAkSLkX4coHafpyLWAtQjw.jpg,ok
웰컴투 삼달리,drama,웰컴투 삼달리,2023,차영훈,https://image.tmdb.org/t/p/w500/5axZllylBVeKv9cduhCisOYUqIp.jpg,ok
유미의 세포들 3,drama,,,,,not_found
응답하라 1988,drama,응답하라 1988,2015,신원호,https://image.tmdb.org/t/p/w500/lZo7G1kEU70PHP1dCe46I0cUKiF.jpg,ok
이번 생도 잘 부탁해,drama,이번 생도 잘 부탁해,2023,Lee Na-jeong,https://image.tmdb.org/t/p/w500/wwONBdVG7wNm7wVD07aQTZuJGXu.jpg,ok
이상한 변호사 우영우,drama,이상한 변호사 우영우,2022,유인식,https://image.tmdb.org/t/p/w500/yv57TccCkgdy3St7rspBPKROeRK.jpg,ok
이재 곧 죽습니다,drama,"이재, 곧 죽습니다",2023,Ha Byung-hoon,https://image.tmdb.org/t/p/w500/v3HpOEZtckMurMjNquzWddfwwcP.jpg,ok
이태원 클라쓰,drama,이태원 클라쓰,2020,Kim Seong-yoon,https://image.tmdb.org/t/p/w500/2tTMci6Hq99gkagpYe19RulNXRr.jpg,ok
작은 아씨들,drama,작은 아씨들,2022,김희원,https://image.tmdb.org/t/p/w500/ow718Omn1oKqYR7izEzkS4cdC3O.jpg,ok
조립식 가족,drama,조립식 가족,2024,Kim Seung-ho,https://image.tmdb.org/t/p/w500/fQmC6mDWI00yaLhNxyKJEhFbDUB.jpg,ok
지금 거신 전화는,drama,지금 거신 전화는,2024,Wi Deuk-gyoo;Park Sang-woo,https://image.tmdb.org/t/p/w500/bF7gq73IpLMQLCcLTom6fqiKDhv.jpg,ok
지금 우리 학교는,drama,지금 우리 학교는,2022,Kim Nam-su;JQ Lee,https://image.tmdb.org/t/p/w500/d9yefq8dNke4UbuqStBtUcO9TxD.jpg,ok
친애하는 X,drama,친애하는 X,2025,이응복;Park So-hyun,https://image.tmdb.org/t/p/w500/9eTQfA8lC4027DrG0PBvEBVRKuM.jpg,ok
키스는 괜히 해서!,drama,키스는 괜히 해서!,2025,김재현,https://image.tmdb.org/t/p/w500/tuEbKYEdNZopNWoKhWpftSYgJVC.jpg,ok
킬러들의 쇼핑몰,drama,킬러들의 쇼핑몰,2024,이언희;Lee Kwon,https://image.tmdb.org/t/p/w500/gfw41bHY2boxVse5l8M6m0sft5n.jpg,ok
태양의 후예,drama,태양의 후예,2016,Yoo Jong-sun;백상훈;이응복,https://image.tmdb.org/t/p/w500/uzsPygxgGvVFMUCsK562leiBbpO.jpg,ok
판사 이한영,drama,판사 이한영,2026,Lee Jae-jin,https://image.tmdb.org/t/p/w500/AnfCTqCrcrKqRO1HNJEFpt6oiIx.jpg,ok
폭군의 셰프,drama,폭군의 셰프,2025,장태유,https://image.tmdb.org/t/p/w500/kqFofZ0hOQ7Y3VUQQ59lpHaCJpM.jpg,ok
케이팝 데몬 헌터스,movie,케이팝 데몬 헌터스,2025,크리스 아펠한스;매기 강,https://image.tmdb.org/t/p/w500/5fqcLmrgVDicMuGLOa9PKErFP72.jpg,ok
