title,category,matched_title,year,director,poster_url,status
스위트홈2,drama,스위트홈,2020,이응복,https://image.tmdb.org/t/p/w500/kJEcSBMPacDJuAihPNmcUEgon1Y.jpg,ok
스터디그룹,drama,스터디그룹,2025,이장훈,https://image.tmdb.org/t/p/w500/rLrEtysTwvVZESavwufnoGIaq8j.jpg,ok
스프링피버,drama,암도춘화 : 봄빛에 스민 비밀,2025,孙嘉阳,https://image.tmdb.org/t/p/w500/v5ay3Gy9QLPnAfikE7Gya3NeHhT.jpg,ok
슬기로운감빵생활,drama,슬기로운 감빵생활,2017,신원호,https://image.tmdb.org/t/p/w500/2kK5H4k8qJDS0SSqQ25xKV3DZvB.jpg,ok
슬기로운의사생활,drama,Hospital Playlist,,,,ok
시그널,drama,시그널,2016,김원석,https://image.tmdb.org/t/p/w500/mB6FlHFK0A4DPyuGTrlM4QgEkIH.jpg,ok
신입사원강회장,drama,신입사원 강회장,2026,고혜진,https://image.tmdb.org/t/p/w500/ryoklqf5Xi76b1Cqb0h4I7zL6qa.jpg,ok
아이돌아이,drama,아이돌아이,2025,이광영,https://image.tmdb.org/t/p/w500/h5oOMqtNkMIZjvkpQ7SkOL4wqoD.jpg,ok
알고있지만,drama,"알고있지만,",2021,김가람,https://image.tmdb.org/t/p/w500/qg0OgBJdk549t0XVvzfQyBD6Jbg.jpg,ok
약한영웅2,drama,약한영웅,2022,유수민;박단희,https://image.tmdb.org/t/p/w500/jXd83QZhBDAFno4OGqHcMMDs56i.jpg,ok
언더커버미쓰홍,drama,언더커버 미쓰홍,2026,박선호,https://image.tmdb.org/t/p/w500/nJ0gSaXfoiPFngy1ulCCuxsKt0q.jpg,ok
언젠가는 슬기로울 전공의생활,drama,언젠가는 슬기로울 전공의생활,2025,Lee Min-soo,https://image.tmdb.org/t/p/w500/oXaMHOQGx2V4HwoBa0IrouBe1yb.jpg,ok
엄마친구아들,drama,엄마친구아들,2024,유제원,https://image.tmdb.org/t/p/w500/39JcptCyPz5AEFRtWruQzHDvKE.jpg,ok
여신강림,drama,여신강림,2020,Kim Sang-hyub,https://image.tmdb.org/t/p/w500/gaCOvKGG2qEnsijNHEAigYcQ1U3.jpg,ok
역도요정김복주,drama,역도요정 김복주,2016,오현종,https://image.tmdb.org/t/p/w500/ssKVvJM341QiRdBmj8fOAOcpYdl.jpg,ok
연인,drama,연인,2023,Kim Sung-yong,https://image.tmdb.org/t/p/w500/rrPCrCRyjdQ8igXIVNcIuL5KcIA.jpg,ok
오징어게임,drama,오징어 게임,2021,황동혁,https://image.tmdb.org/t/p/w500/yACIAqAkSLkX4coHafpyLWAtQjw.jpg,ok
오징어게임2,drama,,,,,not_found
오징어게임3,drama,,,,,not_found
월간남친,drama,월간남친,2026,김정식,https://image.tmdb.org/t/p/w500/hqIXo0s2gof6UxWDWeiP4d3rMr0.jpg,ok
웰컴투삼달리,drama,웰컴투 삼달리,2023,차영훈,https://image.tmdb.org/t/p/w500/5axZllylBVeKv9cduhCisOYUqIp.jpg,ok
유미의세포들3,drama,,,,,not_found
