geonameid,official_rr,hangul,feature_class,feature_code,latitude,longitude,variant,variant_type,is_historic,same_name_diff_spelling
1832262,Yongul-li,용운리,P,PPL,34.53444,126.82639,Yongun-ni,other_variant,,
1832263,Yŏn’gu-ri,Yŏn’gu-ri / 연구리,L,LCTY,34.64278,126.53778,Yŏn’gu-ni,MR,,
1832264,Yongun,용운,P,PPL,34.88961,127.42802,Yongun-dong,other_variant,,
1832264,Yongun,용운,P,PPL,34.88961,127.42802,Yongun-ni,other_variant,,
1832265,Yŏn’gu-ri,,P,PPL,34.99056,128.62417,Yŏn’gu,MR,,
1832266,Yongt’al-li,Yongt’al-li / 용탄리,L,LCTY,37.3861,128.5886,Ryūtan-ri,other_variant,,
1832266,Yongt’al-li,Yongt’al-li / 용탄리,L,LCTY,37.3861,128.5886,Yongt’an-ni,MR,,
1832268,Yongtaeul,Yongt’aeul / 용태울,P,PPL,37.76635,127.88144,Yongt’ae-ri,MR,,
1832268,Yongtaeul,Yongt’aeul / 용태울,P,PPL,37.76635,127.88144,Yont’ae-ri,MR,,
1832273,Kwangyŏng-dong,,P,PPL,34.96361,127.72083,Kwangyŏng-ni,MR,,
1832273,Kwangyŏng-dong,,P,PPL,34.96361,127.72083,Yŏngsu-ri,MR,,
1832274,Yongsumal,용수말,P,PPL,37.07216,128.5331,Yongsumaŭl,MR,,
1832274,Yongsumal,용수말,P,PPL,37.07216,128.5331,Yongsummal,other_variant,,
1832275,Yŏngsu-dong,,P,PPL,36.25,128.06667,Yŏngsu-gol,MR,,
1832276,Yongsudong,용수동,P,PPL,34.78493,127.70006,Yongsu,other_variant,,
1832276,Yongsudong,용수동,P,PPL,34.78493,127.70006,Yongsu-dong,spacing_hyphen,,Y
1832276,Yongsudong,용수동,P,PPL,34.78493,127.70006,Yongsu-ri,other_variant,,
1832278,Yongso-ri,용소리,P,PPL,34.65,126.85778,Ryūshō,other_variant,,
1832278,Yongso-ri,용소리,P,PPL,34.65,126.85778,Ryūshō-ri,other_variant,,
1832278,Yongso-ri,용소리,P,PPL,34.65,126.85778,Yongso,other_variant,,
1832279,Yongso-ri,용소리,L,LCTY,34.71667,126.61667,Yongso-ilgu,other_variant,,
1832281,Yongseongcheon,용성천,H,STM,36.4123,127.04829,Yongsŏng-ch’ŏn,MR,,
1832282,Yongseong,용성,P,PPL,36.11667,126.98839,Yongsŏng,MR,,
1832282,Yongseong,용성,P,PPL,36.11667,126.98839,Yongsŏng-ni,MR,,
1832283,Yonggye,용계,P,PPL,35.71287,127.00567,Yongsŏng,MR,,
1832284,Yongsodong,용소동,P,PPL,37.02963,128.45793,Yongso-dong,spacing_hyphen,,Y
1832284,Yongsodong,용소동,P,PPL,37.02963,128.45793,Yongso-maŭl,MR,,
1832286,Yongso-ri,,P,PPL,34.77472,127.93361,Yongso,other_variant,,
1832287,Yongso-ri,,P,PPL,34.78556,125.98028,Ryūshō-ri,other_variant,,
1832287,Yongso-ri,,P,PPL,34.78556,125.98028,Yongso,other_variant,,
1832288,Yongbal-li,용반리,P,PPL,34.75,126.90611,Yongban-ni,other_variant,,
1832288,Yongbal-li,용반리,P,PPL,34.75,126.90611,Yongsŏ,MR,,
1832289,Yongso,용소,P,PPL,34.61528,126.52306,Yongso-ri,other_variant,,
1832290,Yeongsinjigu,영신지구,L,AREA,37.01971,127.08185,Eishin-ri,other_variant,,
1832290,Yeongsinjigu,영신지구,L,AREA,37.01971,127.08185,Yongsin,other_variant,,
1832290,Yeongsinjigu,영신지구,L,AREA,37.01971,127.08185,Yŏngsin-ni,MR,,
1832290,Yeongsinjigu,영신지구,L,AREA,37.01971,127.08185,Yŏnosin-ni,MR,,
1832291,Yongsil-li,,L,LCTY,36.7218,126.2275,Yongsin-ni,other_variant,,
1832292,Yeongsin,영신,P,PPL,35.26852,126.80679,Yŏng-dong,MR,,
1832292,Yeongsin,영신,P,PPL,35.26852,126.80679,Yŏngsin,MR,,
1832293,Yŏngsin,,P,PPL,35.11667,127.03333,Yŏngsin-ni,MR,,
1832294,Yongsin-ni,Yŏngsil-li / 영신리,L,LCTY,34.585,126.64028,Eishin-ri,other_variant,,
1832294,Yongsin-ni,Yŏngsil-li / 영신리,L,LCTY,34.585,126.64028,Yŏngsin,MR,,
1832295,Yŏngsil,,P,PPL,36.5403,126.8554,Yŏnggong-ni,MR,,
1832296,Yŏngsan-sudo,,H,CHNM,34.64028,125.43722,Eizan-suidō,other_variant,,
1832297,Eizanho,,P,PPL,35,126.71667,Eisampo,other_variant,,
1832297,Eizanho,,P,PPL,35,126.71667,Eisanho,other_variant,,
1832297,Eizanho,,P,PPL,35,126.71667,Eizampo,other_variant,,
1832297,Eizanho,,P,PPL,35,126.71667,Yŏngsanp’o,MR,,
1832297,Eizanho,,P,PPL,35,126.71667,Yŏnsanp’o,MR,,
1832298,Yonghowon,,P,PPL,36.75855,126.90519,Yonghowŏn,MR,,Y
1832298,Yonghowon,,P,PPL,36.75855,126.90519,Yongsan-ni,other_variant,,
1832299,Yongsan-ni,,P,PPL,36.05,126.83333,Tongsan-ni,other_variant,,
1832300,Yongsan,,P,PPL,35.7402,127.99178,Yongsal-li,other_variant,,
1832300,Yongsan,,P,PPL,35.7402,127.99178,Yongsan-ni,other_variant,,
1832300,Yongsan,,P,PPL,35.7402,127.99178,Yongsan-ri,other_variant,,
1832301,Yongsal-li,용산리,L,LCTY,34.65326,127.27888,Yongsan-ni,other_variant,,
1832302,Eisan-ri,,P,PPL,34.65167,125.46917,Yŏngsal-li,MR,,
1832302,Eisan-ri,,P,PPL,34.65167,125.46917,Yŏngsan,MR,,
1832302,Eisan-ri,,P,PPL,34.65167,125.46917,Yŏngsan-ni,MR,,
1832303,Yongsal-li,용산리,P,PPL,34.58917,126.66417,Ryūzan-ri,other_variant,,
1832304,Yongsal-li,용산리,L,LCTY,37.4436,128.8391,Yongsan-ni,other_variant,,
1832305,Yeongsan-ri,Yŏngsal-li / 영산리,L,LCTY,37.0727,127.6441,Yŏngsan-ni,MR,,
1832306,Yongsal-li,,L,LCTY,36.6409,126.7112,Yongsan-ni,other_variant,,
1832307,Yongsal-li,용산리,L,LCTY,34.79463,127.13411,Yongsan-ni,other_variant,,
1832308,Gyewondong,계원동,P,PPL,34.75917,126.77139,Yŏngsal-li,MR,,
1832308,Gyewondong,계원동,P,PPL,34.75917,126.77139,Yŏngsan-ni,MR,,
1832309,Yongho-ri,,P,PPL,34.42111,126.23222,Ryūko-ri,other_variant,,
1832309,Yongho-ri,,P,PPL,34.42111,126.23222,Yongsan-ni,other_variant,,
1832310,Yongsan-je,,H,RSV,35.86667,126.86667,Yongsanjae,other_variant,,
1832311,Yongsan-gu,용산 / 용산구,A,ADM2,37.53391,126.9775,Yongsan,other_variant,,
1832311,Yongsan-gu,용산 / 용산구,A,ADM2,37.53391,126.9775,Yongsan District,other_variant,,
1832312,Yongsangol,용산골,P,PPL,37.88219,126.85807,Yongsan-kol,other_variant,,
1832312,Yongsangol,용산골,P,PPL,37.88219,126.85807,Yongsan-ni,other_variant,,
1832313,Yongsan-gol,용산골,P,PPL,37.2226,127.9954,Yongsan-kol,other_variant,,
1832313,Yongsan-gol,용산골,P,PPL,37.2226,127.9954,Yongsan-ni,other_variant,,
1832316,Yeongsangang,영산강,H,STM,34.83873,126.54887,Eisankō,other_variant,,
1832316,Yeongsangang,영산강,H,STM,34.83873,126.54887,Eizan-kō,other_variant,,
1832316,Yeongsangang,영산강,H,STM,34.83873,126.54887,Yeisan,other_variant,,
1832316,Yeongsangang,영산강,H,STM,34.83873,126.54887,Yŏngsan-gang,MR,,
1832316,Yeongsangang,영산강,H,STM,34.83873,126.54887,Yŏnsan Kan,MR,,
1832317,Yongsan-dong,,P,PPL,36.2,128.56667,Yongsŏng,MR,,
1832318,Yongsal-li,,P,PPL,35.50611,126.63833,Yongsan-dong,other_variant,,
1832318,Yongsal-li,,P,PPL,35.50611,126.63833,Yongsan-ni,other_variant,,
1832320,East Island,,T,ISL,34.64667,125.46667,Eisan-tō,other_variant,,
1832320,East Island,,T,ISL,34.64667,125.46667,Eizan-tō,other_variant,,
1832320,East Island,,T,ISL,34.64667,125.46667,Yŏngsan-do,MR,,
1832322,Yongsan,,P,PPL,36.4241,128.3481,Yongsan-dong,other_variant,,
1832323,Reisan,,P,PPL,35.45222,128.52444,Yŏngsan,MR,,
1832324,Jongsan,종산,P,PPL,35.26667,126.5,Yongsan,other_variant,,
1832325,Yongsal-li,,P,PPL,34.97151,128.35661,Yongsan,other_variant,,
1832325,Yongsal-li,,P,PPL,34.97151,128.35661,Yongsan-ni,other_variant,,
1832326,Yongsan,용산,P,PPL,34.9448,126.74233,Yongsan-ni,other_variant,,
1832327,Yongsal-li,용산리,L,LCTY,34.7325,126.62,Yongji-ri,other_variant,,
1832327,Yongsal-li,용산리,L,LCTY,34.7325,126.62,Yongsan,other_variant,,
1832331,Yongsa,,P,PPL,34.73333,128.48333,Yongch’o-dong,MR,,
1832333,Yŏngp’yŏng-dong,,P,PPL,33.48722,126.57389,Yŏngp’yŏng-ni,MR,,
1832334,Yeongpyeongcheon,영평천,H,STM,38.03944,127.11472,Yŏngp’yŏng-ch’ŏn,MR,,
1832335,Yeongpyeong,영평,P,PPL,38.01477,127.21872,Eihei,other_variant,,
1832335,Yeongpyeong,영평,P,PPL,38.01477,127.21872,Yŏngp’yŏng,MR,,
1832335,Yeongpyeong,영평,P,PPL,38.01477,127.21872,Yŏngp’yŏng-ni,MR,,
1832335,Yeongpyeong,영평,P,PPL,38.01477,127.21872,Yŏnp’yŏng,MR,,
1832336,Yeongpyeong,영평,P,PPL,34.86525,126.64726,Yŏngp’yŏng,MR,,
1832336,Yeongpyeong,영평,P,PPL,34.86525,126.64726,Yŏngp’yŏng-ni,MR,,
1832337,Yŏngp’yŏng,,P,PPL,34.38333,126.35,Yongp’yŏng-ni,MR,,
1832338,Ssangp’ung-ni,,P,PPL,34.76333,126.57556,Ssangp’un-ni,MR,,
1832338,Ssangp’ung-ni,,P,PPL,34.76333,126.57556,Yŏngp’ung,MR,,
