geonameid,official_rr,hangul,feature_class,feature_code,latitude,longitude,variant,variant_type,is_historic,same_name_diff_spelling
1832423,Yongjamdong,용잠동,P,PPL,35.48975,129.37727,Yongjam-ni,other_variant,,
1832423,Yongjamdong,용잠동,P,PPL,35.48975,129.37727,Yongjammal,other_variant,,
1832424,Yongjae,용재,P,PPL,35.10053,128.81597,Ryūzai-ri,other_variant,,
1832424,Yongjae,용재,P,PPL,35.10053,128.81597,Yangjae-ri,other_variant,,
1832424,Yongjae,용재,P,PPL,35.10053,128.81597,Yongjae-ri,other_variant,,
1832426,Yongin-si,용인 / 용인시,A,ADM2,37.23825,127.17795,Yongin,other_variant,,
1832426,Yongin-si,용인 / 용인시,A,ADM2,37.23825,127.17795,Yongin City,other_variant,,
1832428,Yongin,,P,PPL,34.53333,126.28333,Ryūjin,other_variant,,
1832429,Yeongilman,영일만,H,BAY,36.04943,129.45093,Geijitsu Wan,other_variant,Y,
1832429,Yeongilman,영일만,H,BAY,36.04943,129.45093,Geijitsu-wan,other_variant,,
1832429,Yeongilman,영일만,H,BAY,36.04943,129.45093,Geizitu Wan,other_variant,,
1832429,Yeongilman,영일만,H,BAY,36.04943,129.45093,Unkofskago Bay,other_variant,Y,
1832429,Yeongilman,영일만,H,BAY,36.04943,129.45093,Yon Iru Bay,other_variant,Y,
1832429,Yeongilman,영일만,H,BAY,36.04943,129.45093,Yŏngil-man,MR,,
1832430,Yongil-li,용일리,L,LCTY,34.45944,126.69861,Ryūjitsu,other_variant,,
